batch_id,timestamp,machine_id,temperature,pressure,ph_level,batch_yield
BATCH-01158,2025-01-22 09:00:21,BIO-FILL-01,37.435,2.0,7.189,89.923
BATCH-01395,2025-01-31 05:58:53,BIO-FILL-02,36.697,2.077,7.096,90.203
BATCH-01006,2025-01-12 23:52:45,BIO-FILL-03,37.486,2.03,6.962,91.97
BATCH-01417,2025-01-19 07:12:02,BIO-FILL-03,36.467,,7.153,88.546
BATCH-01079,2025-01-07 01:31:05,INSP-UNIT-1,36.958,2.121,7.089,92.169
BATCH-01220,2025-02-01 20:44:06,FORM-LINE-A,36.963,2.094,7.044,91.884
BATCH-01488,2025-01-19 17:47:15,BIO-FILL-01,29.597,0.675,6.071,65.611
BATCH-01493,2025-01-20 22:34:54,INSP-UNIT-2,37.48,2.021,6.876,93.116
BATCH-01329,2025-01-25 11:55:32,FORM-LINE-B,37.26,2.03,7.158,
BATCH-01104,2025-01-11 10:04:36,BIO-FILL-01,37.887,1.999,6.935,93.735
BATCH-01010,2025-01-31 19:56:25,BIO-FILL-03,36.622,2.21,7.082,91.884
BATCH-01101,2025-01-20 12:46:04,FORM-LINE-A,37.227,2.073,7.056,93.465
BATCH-01076,2025-01-11 18:34:30,INSP-UNIT-2,37.922,2.019,7.156,91.132
BATCH-01192,2025-01-30 03:30:13,PACK-LINE-X,37.325,2.282,7.073,94.393
BATCH-01177,2025-01-21 06:49:27,BIO-FILL-01,37.679,2.124,7.074,92.205
BATCH-01356,2025-01-22 06:49:38,FORM-LINE-B,36.461,1.958,7.073,91.856
BATCH-01002,2025-01-15 03:55:43,BIO-FILL-02,37.859,2.254,6.856,93.405
BATCH-01173,2025-01-14 09:31:35,INSP-UNIT-1,36.964,,6.967,94.11
BATCH-01403,2025-01-29 20:48:07,BIO-FILL-03,37.289,2.168,7.079,94.109
BATCH-01132,2025-01-17 17:02:07,BIO-FILL-02,37.159,2.2,7.126,92.47
BATCH-01124,2025-02-02 02:33:55,INSP-UNIT-2,37.348,2.123,7.052,95.948
BATCH-01274,2025-01-19 04:38:49,FORM-LINE-A,37.014,2.059,7.034,89.455
BATCH-01249,2025-01-21 11:41:46,BIO-FILL-03,36.872,2.206,7.146,90.877
BATCH-01428,2025-02-03 02:31:11,FORM-LINE-B,37.857,2.108,7.241,93.115
BATCH-01182,2025-01-25 10:18:07,INSP-UNIT-2,37.207,2.097,7.167,91.725
BATCH-01082,2025-01-15 21:04:59,INSP-UNIT-1,37.885,1.854,7.019,91.143
BATCH-01423,2025-01-29 22:50:41,BIO-FILL-03,38.551,2.067,7.099,95.136
BATCH-01089,2025-01-22 02:05:59,INSP-UNIT-2,37.071,2.149,7.164,91.278
BATCH-01299,2025-01-30 03:49:02,FORM-LINE-B,37.922,2.19,7.073,91.163
BATCH-01238,2025-01-13 05:01:33,PACK-LINE-X,37.526,2.217,7.118,90.555
BATCH-01072,2025-01-23 18:07:06,INSP-UNIT-1,37.691,1.924,6.982,89.441
BATCH-01055,2025-02-01 16:21:16,BIO-FILL-01,36.65,2.062,7.189,92.149
BATCH-01084,2025-01-11 09:43:30,BIO-FILL-02,,2.038,7.14,94.97
BATCH-01407,2025-02-03 12:58:32,INSP-UNIT-1,36.831,2.072,7.072,93.686
BATCH-01030,2025-01-14 10:45:03,BIO-FILL-01,37.738,2.104,7.086,92.314
BATCH-01357,2025-01-30 14:24:40,INSP-UNIT-1,37.495,1.94,7.146,95.536
BATCH-01424,2025-01-26 05:22:58,BIO-FILL-02,36.803,1.966,7.091,93.495
BATCH-01382,2025-01-17 23:07:48,PACK-LINE-X,38.018,2.076,7.127,92.865
BATCH-01009,2025-02-02 18:41:10,BIO-FILL-01,36.599,2.02,7.193,93.517
BATCH-01304,2025-01-26 03:42:53,INSP-UNIT-2,37.777,2.013,7.197,93.141
BATCH-01068,2025-01-09 03:14:06,BIO-FILL-01,37.252,2.105,7.055,93.434
BATCH-01338,2025-02-02 08:58:58,BIO-FILL-03,37.192,2.055,7.1,93.402
BATCH-01277,2025-01-07 10:25:50,FORM-LINE-A,37.082,2.152,7.049,93.666
BATCH-01341,2025-01-07 08:56:21,BIO-FILL-03,,1.993,6.945,
BATCH-01210,2025-02-01 06:01:55,FORM-LINE-A,36.87,2.072,7.187,93.646
BATCH-01184,2025-01-21 09:32:28,INSP-UNIT-2,36.479,2.194,7.134,90.833
BATCH-01073,2025-02-03 09:35:52,INSP-UNIT-2,37.047,2.233,7.198,92.996
BATCH-01227,2025-01-27 11:37:11,BIO-FILL-02,37.672,,7.149,
BATCH-01131,2025-01-15 08:59:02,INSP-UNIT-2,37.422,1.907,7.035,94.065
BATCH-01078,2025-01-23 16:48:17,FORM-LINE-B,37.205,1.996,7.045,90.703
BATCH-01070,2025-01-11 20:32:30,BIO-FILL-02,37.351,2.305,7.111,94.827
BATCH-01266,2025-01-20 18:03:54,BIO-FILL-03,36.487,2.12,7.136,94.553
BATCH-01322,2025-01-19 23:12:31,PACK-LINE-X,37.331,2.324,7.146,94.127
BATCH-01470,2025-01-11 04:14:04,BIO-FILL-03,36.945,2.259,7.079,92.433
BATCH-01497,2025-01-16 19:56:23,BIO-FILL-03,37.532,2.191,7.086,92.404
